id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,296,60,16,2017-02-26,0.18,32,224,01-Apr
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25376,-123.11266,Private room,60,364,70,2016-06-14,0.63,1,365,01-Apr
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,120,2,180,2019-03-31,1.62,1,220,01-Apr
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,153,30,56,2018-08-31,0.5,3,303,01-Apr
13358,Urban Boutique Suite heart of Downtown Vancouver!,52116,Lynn,,West End,49.28209,-123.12515,Entire home/apt,120,1,402,2019-03-23,3.75,1,9,01-Apr
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145,30,82,2018-09-30,0.86,1,253,01-Apr
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,7,31,2018-07-08,0.3,1,0,01-Apr
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Private room,220,3,3,2018-08-26,0.36,1,202,01-Apr
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,134,4,5,2018-03-31,0.05,1,187,01-Apr
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,99,3,172,2019-01-03,2.17,1,0,01-Apr
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,55,30,117,2018-10-31,1.19,2,343,01-Apr
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,80,1,331,2019-03-25,3.46,1,0,01-Apr
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,95,3,100,2019-04-08,1.03,3,244,01-Apr
19527,Charming Apartment in South Granville,74129,B,,Fairview,49.26117,-123.13535,Entire home/apt,108,7,20,2019-03-16,0.18,1,49,01-Apr
19621,2 bedroom in prime Downtown Location-Yaletown,74380,Shirin,,Downtown,49.27354,-123.11848,Entire home/apt,190,120,0,,,1,172,01-Apr
