id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28771582,-123.1211027,Entire home/apt,295,60,16,2017-02-26,0.18,28,319,01-Jan
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25375607,-123.112659,Private room,60,364,70,2016-06-14,0.65,1,365,01-Jan
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577007,-123.1051582,Entire home/apt,119,2,165,2019-01-07,1.52,1,270,01-Jan
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27954755,-123.1054572,Entire home/apt,153,30,56,2018-08-31,0.52,3,187,01-Jan
13358,Urban Boutique Suite heart of Downtown Vancouver!,52116,Lynn,,West End,49.28208989,-123.1251498,Entire home/apt,119,1,379,2018-12-27,3.63,1,47,01-Jan
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555008,-123.0669555,Entire home/apt,145,30,82,2018-09-30,0.88,1,314,01-Jan
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.2497391,-123.0810768,Entire home/apt,141,7,31,2018-07-08,0.31,1,61,01-Jan
14424,Stunning Heritage/Modern Studio,56709,Samantha Jo,,Downtown Eastside,49.27949235,-123.0887479,Entire home/apt,100,3,254,2018-12-30,2.34,3,177,01-Jan
14508, Yaletown - Sea Wall,57043,Linda,,Downtown,49.27419496,-123.1295468,Entire home/apt,141,90,31,2013-07-13,0.29,1,365,01-Jan
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27733617,-123.0415183,Private room,220,3,3,2018-08-26,0.55,1,116,01-Jan
16611,Broadway skytrain station,58512,Q,,Grandview-Woodland,49.26382267,-123.0719409,Entire home/apt,1201,31,3,2018-02-16,0.23,9,92,01-Jan
