id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28771582,-123.1211027,Entire home/apt,296,60,16,2017-02-26,0.19,27,224,01-Oct
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25375607,-123.112659,Private room,60,364,70,2016-06-14,0.67,1,365,01-Oct
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577007,-123.1051582,Entire home/apt,110,2,152,2018-10-06,1.45,1,248,01-Oct
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.2497391,-123.0810768,Entire home/apt,140,2,31,2018-07-08,0.32,1,7,01-Oct
14424,Stunning Heritage/Modern Studio,56709,Samantha Jo,,Downtown Eastside,49.27949235,-123.0887479,Entire home/apt,100,3,245,2018-09-23,2.33,3,192,01-Oct
14508, Yaletown - Sea Wall,57043,Linda,,Downtown,49.27419496,-123.1295468,Entire home/apt,140,90,31,2013-07-13,0.3,1,354,01-Oct
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27733617,-123.0415183,Private room,220,3,3,2018-08-26,1.32,1,72,01-Oct
16611,Broadway skytrain station,58512,Que,,Grandview-Woodland,49.26382267,-123.0719409,Entire home/apt,1200,31,3,2018-02-16,0.31,9,212,01-Oct
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195425,-123.0355008,Entire home/apt,135,4,5,2018-03-31,0.06,1,9,01-Oct
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26180792,-123.109049,Entire home/apt,99,3,163,2018-09-14,2.22,1,7,01-Oct
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564039,-123.0952401,Private room,54,30,116,2016-08-22,1.26,1,344,01-Oct
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.2742743,-123.070628,Private room,82,1,300,2018-09-27,3.35,1,17,01-Oct
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251202,-123.1282693,Private room,95,3,93,2018-10-03,1.03,3,333,01-Oct
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Mount Pleasant,49.25732203,-123.0854536,Entire home/apt,88,30,70,2018-09-13,0.67,1,6,01-Oct
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.28218792,-123.1250276,Entire home/apt,227,3,39,2018-09-21,0.37,1,37,01-Oct
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.2342708,-123.0530922,Entire home/apt,65,30,194,2018-09-25,2.31,2,137,01-Oct
24273,Walker's paradise in Kitsilano,1267409,Julia,,Kitsilano,49.26259942,-123.1730784,Entire home/apt,299,2,4,2018-09-10,0.06,1,273,01-Oct
24460,Mai Lodging - Room Double bed,9187,Tuyet,,Kensington-Cedar Cottage,49.24755719,-123.0671557,Private room,51,30,63,2018-09-19,0.62,3,344,01-Oct
26047,COMFYSUITES Vancouver Accommodation,109845,Alicia,,Downtown,49.27933433,-123.1237735,Entire home/apt,159,30,29,2018-10-01,0.33,3,364,01-Oct
26234,Downtown Yaletown by COMFYSUITES,109845,Alicia,,Downtown,49.27755196,-123.1248665,Entire home/apt,169,30,6,2018-08-31,0.3,3,134,01-Oct
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown Eastside,49.28033554,-123.1041516,Private room,105,31,80,2018-08-17,0.8,2,354,01-Oct
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.27351142,-123.0694459,Entire home/apt,99,2,342,2018-10-07,3.44,1,314,01-Oct
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28000765,-123.1247453,Entire home/apt,159,30,28,2018-09-06,0.28,3,248,01-Oct
48146,Executive Furnished Apartment (6 months minimum),219431,Damien,,Renfrew-Collingwood,49.23457416,-123.0264407,Entire home/apt,97,30,0,,,1,365,01-Oct
